0:0:0:0:0:0:0:1 - - [01/Aug/2021:21:51:18 +0900] "GET /sendmail/wholebox.do?userName=%EC%86%A1%ED%98%81%EC%A4%91 HTTP/1.1" 500 1039
0:0:0:0:0:0:0:1 - - [01/Aug/2021:21:51:18 +0900] "GET /sendmail/css/egovframework/sample.css HTTP/1.1" 404 1039
0:0:0:0:0:0:0:1 - - [01/Aug/2021:21:51:21 +0900] "GET /sendmail/inbox.do?userName=%EC%86%A1%ED%98%81%EC%A4%91 HTTP/1.1" 500 1039
0:0:0:0:0:0:0:1 - - [01/Aug/2021:21:51:21 +0900] "GET /sendmail/css/egovframework/sample.css HTTP/1.1" 404 1039
0:0:0:0:0:0:0:1 - - [01/Aug/2021:21:52:15 +0900] "GET /sendmail/wholebox.do?userName=%EC%86%A1%ED%98%81%EC%A4%91 HTTP/1.1" 200 12934
0:0:0:0:0:0:0:1 - - [01/Aug/2021:21:52:16 +0900] "GET /sendmail/inbox.do?userName=%EC%86%A1%ED%98%81%EC%A4%91 HTTP/1.1" 200 12221
0:0:0:0:0:0:0:1 - - [01/Aug/2021:21:52:16 +0900] "GET /sendmail/outbox.do?userName=%EC%86%A1%ED%98%81%EC%A4%91 HTTP/1.1" 200 13464
0:0:0:0:0:0:0:1 - - [01/Aug/2021:21:52:17 +0900] "GET /sendmail/deletePage.do?userName=%EC%86%A1%ED%98%81%EC%A4%91 HTTP/1.1" 500 1039
0:0:0:0:0:0:0:1 - - [01/Aug/2021:21:52:17 +0900] "GET /sendmail/css/egovframework/sample.css HTTP/1.1" 404 1039
0:0:0:0:0:0:0:1 - - [01/Aug/2021:21:52:26 +0900] "GET /sendmail/deletePage.do?userName=%EC%86%A1%ED%98%81%EC%A4%91 HTTP/1.1" 200 12966
0:0:0:0:0:0:0:1 - - [01/Aug/2021:21:52:27 +0900] "GET /sendmail/outbox.do?userName=%EC%86%A1%ED%98%81%EC%A4%91 HTTP/1.1" 200 13464
0:0:0:0:0:0:0:1 - - [01/Aug/2021:21:52:27 +0900] "GET /sendmail/inbox.do?userName=%EC%86%A1%ED%98%81%EC%A4%91 HTTP/1.1" 200 12221
0:0:0:0:0:0:0:1 - - [01/Aug/2021:21:52:28 +0900] "GET /sendmail/wholebox.do?userName=%EC%86%A1%ED%98%81%EC%A4%91 HTTP/1.1" 200 12934
0:0:0:0:0:0:0:1 - - [01/Aug/2021:21:52:30 +0900] "GET /sendmail/writePage.do HTTP/1.1" 200 15164
0:0:0:0:0:0:0:1 - - [01/Aug/2021:21:59:01 +0900] "GET /sendmail/wholebox.do?userName=%EC%86%A1%ED%98%81%EC%A4%91 HTTP/1.1" 200 12934
0:0:0:0:0:0:0:1 - - [01/Aug/2021:21:59:42 +0900] "GET /sendmail/wholebox.do?userName=%EC%86%A1%ED%98%81%EC%A4%91 HTTP/1.1" 200 12934
209.141.32.217 - - [01/Aug/2021:22:08:14 +0900] "POST /boaform/admin/formLogin HTTP/1.1" 404 797
